RANK	DOCUMENT	PRECISION	RECALL
1	CACM-0981	0.0	0.0
2	CACM-1014	0.0	0.0
3	CACM-0950	0.0	0.0
4	CACM-2096	0.0	0.0
5	CACM-2305	0.0	0.0
6	CACM-1182	0.0	0.0
7	CACM-0497	0.0	0.0
8	CACM-1516	0.0	0.0
9	CACM-1587	0.0	0.0
10	CACM-1403	0.0	0.0
11	CACM-2020	0.0	0.0
12	CACM-3111	0.0	0.0
13	CACM-3057	0.0	0.0
14	CACM-1408	0.0	0.0
15	CACM-2554	0.0	0.0
16	CACM-2246	0.0	0.0
17	CACM-0615	0.0	0.0
18	CACM-3059	0.0	0.0
19	CACM-1423	0.0	0.0
20	CACM-1359	0.0	0.0
21	CACM-1433	0.0	0.0
22	CACM-3160	0.0	0.0
23	CACM-0241	0.0	0.0
24	CACM-1569	0.0	0.0
25	CACM-1473	0.0	0.0
26	CACM-3056	0.0	0.0
27	CACM-1806	0.0	0.0
28	CACM-0278	0.0	0.0
29	CACM-2051	0.0	0.0
30	CACM-1637	0.0	0.0
31	CACM-3095	0.0	0.0
32	CACM-1348	0.0	0.0
33	CACM-2876	0.0	0.0
34	CACM-0248	0.0	0.0
35	CACM-1956	0.0	0.0
36	CACM-2718	0.0	0.0
37	CACM-2568	0.0	0.0
38	CACM-0282	0.0	0.0
39	CACM-1809	0.0	0.0
40	CACM-0893	0.0	0.0
41	CACM-2794	0.0	0.0
42	CACM-2885	0.0	0.0
43	CACM-1505	0.0	0.0
44	CACM-1608	0.0	0.0
45	CACM-2907	0.0	0.0
46	CACM-2496	0.0	0.0
47	CACM-2878	0.0	0.0
48	CACM-1710	0.0	0.0
49	CACM-1434	0.0	0.0
50	CACM-1934	0.0	0.0
51	CACM-1622	0.0	0.0
52	CACM-2186	0.0	0.0
53	CACM-3139	0.0	0.0
54	CACM-1742	0.0	0.0
55	CACM-1675	0.0	0.0
56	CACM-1180	0.0	0.0
57	CACM-2449	0.0	0.0
58	CACM-0605	0.0	0.0
59	CACM-2184	0.0	0.0
60	CACM-1519	0.0	0.0
61	CACM-1474	0.0	0.0
62	CACM-1167	0.0	0.0
63	CACM-1185	0.0	0.0
64	CACM-3081	0.0	0.0
65	CACM-0982	0.0	0.0
66	CACM-1206	0.0	0.0
67	CACM-3157	0.0	0.0
68	CACM-2702	0.0	0.0
69	CACM-3118	0.0	0.0
70	CACM-1974	0.0	0.0
71	CACM-0441	0.0	0.0
72	CACM-2949	0.0	0.0
73	CACM-0071	0.0	0.0
74	CACM-2846	0.0	0.0
75	CACM-1868	0.0	0.0
76	CACM-2832	0.0	0.0
77	CACM-0824	0.0	0.0
78	CACM-3124	0.0	0.0
79	CACM-1253	0.0	0.0
80	CACM-2905	0.0	0.0
81	CACM-1383	0.0	0.0
82	CACM-1199	0.0	0.0
83	CACM-1811	0.0	0.0
84	CACM-0696	0.0	0.0
85	CACM-0202	0.0	0.0
86	CACM-1911	0.0	0.0
87	CACM-0092	0.0	0.0
88	CACM-1563	0.0	0.0
89	CACM-1088	0.0	0.0
90	CACM-0146	0.0	0.0
91	CACM-1170	0.0	0.0
92	CACM-2030	0.0	0.0
93	CACM-2343	0.0	0.0
94	CACM-2344	0.0	0.0
95	CACM-1279	0.0	0.0
96	CACM-0972	0.0	0.0
97	CACM-2383	0.0	0.0
98	CACM-1001	0.0	0.0
99	CACM-2366	0.0	0.0
100	CACM-1404	0.0	0.0
