query,rank,document,precision,recall

1,1,CACM-1226,0.0,0.0
1,2,CACM-1033,0.0,0.0
1,3,CACM-3048,0.0,0.0
1,4,CACM-1523,0.0,0.0
1,5,CACM-1571,0.0,0.0
1,6,CACM-1304,0.0,0.0
1,7,CACM-2560,0.0,0.0
1,8,CACM-1440,0.0,0.0
1,9,CACM-1264,0.0,0.0
1,10,CACM-3012,0.0,0.0
1,11,CACM-0252,0.0,0.0
1,12,CACM-1195,0.0,0.0
1,13,CACM-1589,0.0,0.0
1,14,CACM-2371,0.0,0.0
1,15,CACM-1519,0.0,0.0
1,16,CACM-1482,0.0,0.0
1,17,CACM-3023,0.0,0.0
1,18,CACM-2984,0.0,0.0
1,19,CACM-2917,0.0,0.0
1,20,CACM-2153,0.0,0.0
1,21,CACM-1719,0.0,0.0
1,22,CACM-1505,0.0,0.0
1,23,CACM-0414,0.0,0.0
1,24,CACM-1163,0.0,0.0
1,25,CACM-1173,0.0,0.0
1,26,CACM-1161,0.0,0.0
1,27,CACM-0671,0.0,0.0
1,28,CACM-1238,0.0,0.0
1,29,CACM-3137,0.0,0.0
1,30,CACM-2105,0.0,0.0
1,31,CACM-1657,0.0,0.0
1,32,CACM-3131,0.0,0.0
1,33,CACM-1252,0.0,0.0
1,34,CACM-3147,0.0,0.0
1,35,CACM-1506,0.0,0.0
1,36,CACM-2169,0.0,0.0
1,37,CACM-0275,0.0,0.0
1,38,CACM-0594,0.0,0.0
1,39,CACM-2398,0.0,0.0
1,40,CACM-1744,0.0,0.0
1,41,CACM-0202,0.0,0.0
1,42,CACM-2370,0.0,0.0
1,43,CACM-2819,0.0,0.0
1,44,CACM-1168,0.0,0.0
1,45,CACM-1108,0.0,0.0
1,46,CACM-1472,0.0,0.0
1,47,CACM-1295,0.0,0.0
1,48,CACM-3127,0.0,0.0
1,49,CACM-2811,0.0,0.0
1,50,CACM-1937,0.0,0.0
1,51,CACM-0971,0.0,0.0
1,52,CACM-2357,0.0,0.0
1,53,CACM-1428,0.0,0.0
1,54,CACM-1938,0.0,0.0
1,55,CACM-1696,0.0,0.0
1,56,CACM-1533,0.0,0.0
1,57,CACM-1518,0.0,0.0
1,58,CACM-1044,0.0,0.0
1,59,CACM-2311,0.0,0.0
1,60,CACM-1956,0.0,0.0
1,61,CACM-2798,0.0,0.0
1,62,CACM-2951,0.0,0.0
1,63,CACM-2764,0.0,0.0
1,64,CACM-3172,0.0,0.0
1,65,CACM-1034,0.0,0.0
1,66,CACM-2581,0.0,0.0
1,67,CACM-1170,0.0,0.0
1,68,CACM-2796,0.0,0.0
1,69,CACM-3129,0.0,0.0
1,70,CACM-1959,0.0,0.0
1,71,CACM-1750,0.0,0.0
1,72,CACM-1694,0.0,0.0
1,73,CACM-3151,0.0,0.0
1,74,CACM-1605,0.013513513513513514,0.2
1,75,CACM-1930,0.013333333333333334,0.2
1,76,CACM-2666,0.013157894736842105,0.2
1,77,CACM-1923,0.012987012987012988,0.2
1,78,CACM-1642,0.01282051282051282,0.2
1,79,CACM-1110,0.012658227848101266,0.2
1,80,CACM-1735,0.0125,0.2
1,81,CACM-2955,0.012345679012345678,0.2
1,82,CACM-2064,0.012195121951219513,0.2
1,83,CACM-2642,0.012048192771084338,0.2
1,84,CACM-0294,0.011904761904761904,0.2
1,85,CACM-2875,0.011764705882352941,0.2
1,86,CACM-3089,0.011627906976744186,0.2
1,87,CACM-0197,0.011494252873563218,0.2
1,88,CACM-1502,0.011363636363636364,0.2
1,89,CACM-2087,0.011235955056179775,0.2
1,90,CACM-0071,0.011111111111111112,0.2
1,91,CACM-0656,0.01098901098901099,0.2
1,92,CACM-1591,0.010869565217391304,0.2
1,93,CACM-0391,0.010752688172043012,0.2
1,94,CACM-0617,0.010638297872340425,0.2
1,95,CACM-1685,0.010526315789473684,0.2
1,96,CACM-2620,0.010416666666666666,0.2
1,97,CACM-0950,0.010309278350515464,0.2
1,98,CACM-1712,0.01020408163265306,0.2
1,99,CACM-0596,0.010101010101010102,0.2
1,100,CACM-0699,0.01,0.2

2,1,CACM-3059,0.0,0.0
2,2,CACM-1569,0.0,0.0
2,3,CACM-0727,0.0,0.0
2,4,CACM-1619,0.0,0.0
2,5,CACM-1364,0.0,0.0
2,6,CACM-0626,0.0,0.0
2,7,CACM-3028,0.0,0.0
2,8,CACM-1931,0.0,0.0
2,9,CACM-1519,0.0,0.0
2,10,CACM-0335,0.0,0.0
2,11,CACM-2735,0.0,0.0
2,12,CACM-1488,0.0,0.0
2,13,CACM-3034,0.0,0.0
2,14,CACM-3138,0.0,0.0
2,15,CACM-1045,0.0,0.0
2,16,CACM-0248,0.0,0.0
2,17,CACM-2039,0.0,0.0
2,18,CACM-2439,0.0,0.0
2,19,CACM-2449,0.0,0.0
2,20,CACM-2352,0.0,0.0
2,21,CACM-2900,0.0,0.0
2,22,CACM-1182,0.0,0.0
2,23,CACM-2577,0.0,0.0
2,24,CACM-2663,0.0,0.0
2,25,CACM-0950,0.0,0.0
2,26,CACM-1868,0.0,0.0
2,27,CACM-1305,0.0,0.0
2,28,CACM-1259,0.0,0.0
2,29,CACM-1473,0.0,0.0
2,30,CACM-1243,0.0,0.0
2,31,CACM-1315,0.0,0.0
2,32,CACM-1404,0.0,0.0
2,33,CACM-2486,0.0,0.0
2,34,CACM-0617,0.0,0.0
2,35,CACM-2476,0.0,0.0
2,36,CACM-0144,0.0,0.0
2,37,CACM-2253,0.0,0.0
2,38,CACM-2143,0.0,0.0
2,39,CACM-3056,0.0,0.0
2,40,CACM-1387,0.0,0.0
2,41,CACM-0372,0.0,0.0
2,42,CACM-0394,0.0,0.0
2,43,CACM-0526,0.0,0.0
2,44,CACM-1867,0.0,0.0
2,45,CACM-2113,0.0,0.0
2,46,CACM-0820,0.0,0.0
2,47,CACM-3158,0.0,0.0
2,48,CACM-0069,0.0,0.0
2,49,CACM-0171,0.0,0.0
2,50,CACM-0363,0.0,0.0
2,51,CACM-1702,0.0,0.0
2,52,CACM-0533,0.0,0.0
2,53,CACM-0246,0.0,0.0
2,54,CACM-0391,0.0,0.0
2,55,CACM-0597,0.0,0.0
2,56,CACM-2933,0.0,0.0
