query,rank,document,precision,recall

1,1,CACM-2311,0.0,0.0
1,2,CACM-1938,0.0,0.0
1,3,CACM-2984,0.0,0.0
1,4,CACM-1844,0.0,0.0
1,5,CACM-1719,0.0,0.0
1,6,CACM-3012,0.0,0.0
1,7,CACM-1591,0.0,0.0
1,8,CACM-2542,0.0,0.0
1,9,CACM-2948,0.0,0.0
1,10,CACM-1680,0.0,0.0
1,11,CACM-3089,0.0,0.0
1,12,CACM-2955,0.0,0.0
1,13,CACM-2560,0.0,0.0
1,14,CACM-1033,0.0,0.0
1,15,CACM-2371,0.0,0.0
1,16,CACM-2188,0.0,0.0
1,17,CACM-1959,0.0,0.0
1,18,CACM-1912,0.0,0.0
1,19,CACM-2812,0.0,0.0
1,20,CACM-1657,0.0,0.0
1,21,CACM-3090,0.0,0.0
1,22,CACM-1341,0.0,0.0
1,23,CACM-3137,0.0,0.0
1,24,CACM-2798,0.0,0.0
1,25,CACM-1519,0.0,0.0
1,26,CACM-1571,0.0,0.0
1,27,CACM-1750,0.0,0.0
1,28,CACM-2105,0.0,0.0
1,29,CACM-1518,0.0,0.0
1,30,CACM-2522,0.0,0.0
1,31,CACM-3072,0.0,0.0
1,32,CACM-1544,0.0,0.0
1,33,CACM-2398,0.0,0.0
1,34,CACM-3180,0.0,0.0
1,35,CACM-1885,0.0,0.0
1,36,CACM-3025,0.0,0.0
1,37,CACM-2372,0.0,0.0
1,38,CACM-1304,0.0,0.0
1,39,CACM-2153,0.0,0.0
1,40,CACM-1238,0.0,0.0
1,41,CACM-3023,0.0,0.0
1,42,CACM-637,0.0,0.0
1,43,CACM-2681,0.0,0.0
1,44,CACM-1264,0.0,0.0
1,45,CACM-2318,0.0,0.0
1,46,CACM-2151,0.0,0.0
1,47,CACM-1747,0.0,0.0
1,48,CACM-2624,0.0,0.0
1,49,CACM-1226,0.0,0.0
1,50,CACM-1071,0.0,0.0
1,51,CACM-1482,0.0,0.0
1,52,CACM-1937,0.0,0.0
1,53,CACM-2629,0.0,0.0
1,54,CACM-1034,0.0,0.0
1,55,CACM-1173,0.0,0.0
1,56,CACM-2859,0.0,0.0
1,57,CACM-3136,0.0,0.0
1,58,CACM-2379,0.0,0.0
1,59,CACM-2878,0.0,0.0
1,60,CACM-2344,0.0,0.0
1,61,CACM-2407,0.0,0.0
1,62,CACM-3087,0.0,0.0
1,63,CACM-2811,0.0,0.0
1,64,CACM-2567,0.0,0.0
1,65,CACM-3068,0.0,0.0
1,66,CACM-1827,0.0,0.0
1,67,CACM-202,0.0,0.0
1,68,CACM-2479,0.0,0.0
1,69,CACM-1108,0.0,0.0
1,70,CACM-1505,0.0,0.0
1,71,CACM-2882,0.0,0.0
1,72,CACM-1347,0.0,0.0
1,73,CACM-3082,0.0,0.0
1,74,CACM-2535,0.0,0.0
1,75,CACM-1605,0.013333333333333334,0.2
1,76,CACM-2439,0.013157894736842105,0.2
1,77,CACM-617,0.012987012987012988,0.2
1,78,CACM-2405,0.01282051282051282,0.2
1,79,CACM-3181,0.012658227848101266,0.2
1,80,CACM-2689,0.0125,0.2
1,81,CACM-1236,0.012345679012345678,0.2
1,82,CACM-3048,0.012195121951219513,0.2
1,83,CACM-1195,0.012048192771084338,0.2
1,84,CACM-2988,0.011904761904761904,0.2
1,85,CACM-2345,0.011764705882352941,0.2
1,86,CACM-2541,0.011627906976744186,0.2
1,87,CACM-2951,0.011494252873563218,0.2
1,88,CACM-2985,0.011363636363636364,0.2
1,89,CACM-3127,0.011235955056179775,0.2
1,90,CACM-2740,0.011111111111111112,0.2
1,91,CACM-696,0.01098901098901099,0.2
1,92,CACM-3026,0.010869565217391304,0.2
1,93,CACM-2622,0.010752688172043012,0.2
1,94,CACM-3150,0.010638297872340425,0.2
1,95,CACM-1533,0.010526315789473684,0.2
1,96,CACM-2262,0.010416666666666666,0.2
1,97,CACM-252,0.010309278350515464,0.2
1,98,CACM-3153,0.01020408163265306,0.2
1,99,CACM-2852,0.010101010101010102,0.2
1,100,CACM-2730,0.01,0.2

2,1,CACM-598,0.0,0.0
2,2,CACM-2892,0.0,0.0
2,3,CACM-1311,0.0,0.0
2,4,CACM-2749,0.0,0.0
2,5,CACM-1622,0.0,0.0
2,6,CACM-2462,0.0,0.0
2,7,CACM-1465,0.0,0.0
2,8,CACM-117,0.0,0.0
2,9,CACM-2787,0.0,0.0
2,10,CACM-2585,0.0,0.0
2,11,CACM-2670,0.0,0.0
2,12,CACM-1950,0.0,0.0
2,13,CACM-2508,0.0,0.0
2,14,CACM-52,0.0,0.0
2,15,CACM-149,0.0,0.0
2,16,CACM-2490,0.0,0.0
2,17,CACM-2400,0.0,0.0
2,18,CACM-2645,0.0,0.0
2,19,CACM-2499,0.0,0.0
2,20,CACM-1352,0.0,0.0
2,21,CACM-2555,0.0,0.0
2,22,CACM-2162,0.0,0.0
2,23,CACM-2834,0.0,0.0
2,24,CACM-1840,0.0,0.0
2,25,CACM-2569,0.0,0.0
2,26,CACM-1431,0.0,0.0
2,27,CACM-2623,0.0,0.0
2,28,CACM-88,0.0,0.0
2,29,CACM-164,0.0,0.0
2,30,CACM-2950,0.0,0.0
2,31,CACM-1708,0.0,0.0
2,32,CACM-2118,0.0,0.0
2,33,CACM-3070,0.0,0.0
2,34,CACM-1115,0.0,0.0
2,35,CACM-2108,0.0,0.0
2,36,CACM-1279,0.0,0.0
2,37,CACM-2748,0.0,0.0
2,38,CACM-1961,0.0,0.0
2,39,CACM-1045,0.0,0.0
2,40,CACM-3152,0.0,0.0
2,41,CACM-1980,0.0,0.0
2,42,CACM-3005,0.0,0.0
2,43,CACM-1433,0.0,0.0
2,44,CACM-124,0.0,0.0
2,45,CACM-1344,0.0,0.0
2,46,CACM-267,0.0,0.0
2,47,CACM-2651,0.0,0.0
2,48,CACM-1957,0.0,0.0
2,49,CACM-3064,0.0,0.0
2,50,CACM-1610,0.0,0.0
2,51,CACM-3114,0.0,0.0
2,52,CACM-3138,0.0,0.0
2,53,CACM-2746,0.0,0.0
2,54,CACM-1134,0.0,0.0
2,55,CACM-3154,0.0,0.0
2,56,CACM-849,0.0,0.0
2,57,CACM-1314,0.0,0.0
2,58,CACM-1694,0.0,0.0
2,59,CACM-1146,0.0,0.0
2,60,CACM-1735,0.0,0.0
2,61,CACM-1698,0.0,0.0
2,62,CACM-1947,0.0,0.0
2,63,CACM-1717,0.0,0.0
2,64,CACM-940,0.0,0.0
2,65,CACM-2609,0.0,0.0
2,66,CACM-1429,0.0,0.0
2,67,CACM-1627,0.0,0.0
2,68,CACM-1807,0.0,0.0
2,69,CACM-1811,0.0,0.0
2,70,CACM-753,0.0,0.0
2,71,CACM-1612,0.0,0.0
2,72,CACM-1408,0.0,0.0
2,73,CACM-1725,0.0,0.0
2,74,CACM-2185,0.0,0.0
2,75,CACM-2035,0.0,0.0
2,76,CACM-1,0.0,0.0
2,77,CACM-10,0.0,0.0
2,78,CACM-100,0.0,0.0
2,79,CACM-1000,0.0,0.0
2,80,CACM-1001,0.0,0.0
2,81,CACM-1002,0.0,0.0
2,82,CACM-1003,0.0,0.0
2,83,CACM-1004,0.0,0.0
2,84,CACM-1005,0.0,0.0
2,85,CACM-1006,0.0,0.0
2,86,CACM-1007,0.0,0.0
2,87,CACM-1008,0.0,0.0
2,88,CACM-1009,0.0,0.0
2,89,CACM-101,0.0,0.0
2,90,CACM-1010,0.0,0.0
2,91,CACM-1011,0.0,0.0
2,92,CACM-1012,0.0,0.0
2,93,CACM-1013,0.0,0.0
2,94,CACM-1014,0.0,0.0
2,95,CACM-1015,0.0,0.0
2,96,CACM-1016,0.0,0.0
2,97,CACM-1017,0.0,0.0
2,98,CACM-1018,0.0,0.0
2,99,CACM-1019,0.0,0.0
2,100,CACM-102,0.0,0.0

3,1,CACM-2430,0.0,0.0
3,2,CACM-2283,0.0,0.0
3,3,CACM-2090,0.0,0.0
3,4,CACM-2146,0.0,0.0
3,5,CACM-371,0.0,0.0
3,6,CACM-1559,0.0,0.0
3,7,CACM-2030,0.0,0.0
3,8,CACM-2884,0.0,0.0
3,9,CACM-2490,0.0,0.0
3,10,CACM-1961,0.0,0.0
3,11,CACM-2767,0.0,0.0
3,12,CACM-2903,0.0,0.0
3,13,CACM-2950,0.0,0.0
3,14,CACM-3151,0.0,0.0
3,15,CACM-2630,0.0,0.0
3,16,CACM-2520,0.0,0.0
3,17,CACM-2031,0.0,0.0
3,18,CACM-2657,0.0,0.0
3,19,CACM-199,0.0,0.0
3,20,CACM-2904,0.0,0.0
3,21,CACM-2509,0.0,0.0
3,22,CACM-2862,0.0,0.0
3,23,CACM-2209,0.0,0.0
3,24,CACM-1560,0.0,0.0
3,25,CACM-1990,0.0,0.0
3,26,CACM-2263,0.0,0.0
3,27,CACM-1504,0.0,0.0
3,28,CACM-2510,0.0,0.0
3,29,CACM-2094,0.0,0.0
3,30,CACM-1946,0.0,0.0
3,31,CACM-2916,0.0,0.0
3,32,CACM-2226,0.0,0.0
3,33,CACM-2769,0.0,0.0
3,34,CACM-3132,0.0,0.0
3,35,CACM-3037,0.0,0.0
3,36,CACM-2366,0.0,0.0
3,37,CACM-3071,0.0,0.0
3,38,CACM-2472,0.0,0.0
3,39,CACM-2701,0.0,0.0
3,40,CACM-2963,0.0,0.0
3,41,CACM-3085,0.0,0.0
3,42,CACM-2266,0.0,0.0
3,43,CACM-3141,0.0,0.0
3,44,CACM-3166,0.0,0.0
3,45,CACM-1540,0.0,0.0
3,46,CACM-1863,0.0,0.0
3,47,CACM-2042,0.0,0.0
3,48,CACM-2837,0.0,0.0
3,49,CACM-1954,0.0,0.0
3,50,CACM-2223,0.0,0.0
3,51,CACM-2464,0.0,0.0
3,52,CACM-2134,0.0,0.0
3,53,CACM-2419,0.0,0.0
3,54,CACM-2426,0.0,0.0
3,55,CACM-2285,0.0,0.0
3,56,CACM-1658,0.0,0.0
3,57,CACM-1679,0.0,0.0
3,58,CACM-1072,0.0,0.0
3,59,CACM-1539,0.0,0.0
3,60,CACM-2880,0.0,0.0
3,61,CACM-1594,0.0,0.0
3,62,CACM-1097,0.0,0.0
3,63,CACM-1842,0.0,0.0
3,64,CACM-2098,0.0,0.0
3,65,CACM-2444,0.0,0.0
3,66,CACM-1796,0.0,0.0
3,67,CACM-1858,0.0,0.0
3,68,CACM-2997,0.0,0.0
3,69,CACM-3055,0.0,0.0
3,70,CACM-1694,0.0,0.0
3,71,CACM-2143,0.0,0.0
3,72,CACM-2335,0.0,0.0
3,73,CACM-2902,0.0,0.0
3,74,CACM-1729,0.0,0.0
3,75,CACM-2554,0.0,0.0
3,76,CACM-1910,0.0,0.0
3,77,CACM-1734,0.0,0.0
3,78,CACM-2936,0.0,0.0
3,79,CACM-2627,0.0,0.0
3,80,CACM-1423,0.0,0.0
3,81,CACM-1924,0.0,0.0
3,82,CACM-2819,0.0,0.0
3,83,CACM-2348,0.0,0.0
3,84,CACM-2004,0.0,0.0
3,85,CACM-1294,0.0,0.0
3,86,CACM-3118,0.0,0.0
3,87,CACM-2674,0.0,0.0
3,88,CACM-2200,0.0,0.0
3,89,CACM-1586,0.0,0.0
3,90,CACM-1967,0.0,0.0
3,91,CACM-2714,0.0,0.0
3,92,CACM-2133,0.0,0.0
3,93,CACM-2670,0.0,0.0
3,94,CACM-1873,0.0,0.0
3,95,CACM-1386,0.0,0.0
3,96,CACM-2954,0.0,0.0
3,97,CACM-2679,0.0,0.0
3,98,CACM-2185,0.0,0.0
3,99,CACM-2646,0.0,0.0
3,100,CACM-3114,0.0,0.0

4,1,CACM-2430,0.0,0.0
4,2,CACM-2283,0.0,0.0
4,3,CACM-2090,0.0,0.0
4,4,CACM-2146,0.0,0.0
4,5,CACM-371,0.0,0.0
4,6,CACM-1559,0.0,0.0
4,7,CACM-2030,0.0,0.0
4,8,CACM-2884,0.0,0.0
4,9,CACM-2490,0.0,0.0
4,10,CACM-1961,0.0,0.0
4,11,CACM-2767,0.0,0.0
4,12,CACM-2903,0.0,0.0
4,13,CACM-2950,0.0,0.0
4,14,CACM-3151,0.0,0.0
4,15,CACM-2630,0.0,0.0
4,16,CACM-2520,0.0,0.0
4,17,CACM-2031,0.0,0.0
