query,P@5,P@20
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.2,0.1
7,0.0,0.05
8,0.0,0.0
9,0.4,0.1
10,0.6,0.35
11,0.8,0.25
12,0.2,0.05
13,0.6,0.15
14,0.2,0.05
15,0.2,0.1
16,0.0,0.0
17,0.2,0.05
18,0.0,0.1
19,0.6,0.2
20,0.0,0.0
21,0.2,0.05
22,0.6,0.2
23,0.6,0.15
24,0.2,0.1
25,0.2,0.25
26,0.0,0.0
27,0.6,0.2
28,0.6,0.2
29,0.4,0.25
30,0.0,0.0
31,0.2,0.1
32,0.2,0.05
33,0.2,0.05
36,0.0,0.0
37,0.4,0.1
38,1.0,0.3
39,0.0,0.05
40,0.2,0.1
42,0.6,0.25
43,0.0,0.05
44,0.2,0.05
45,0.2,0.05
48,0.4,0.25
49,0.0,0.0
57,0.0,0.0
58,0.6,0.2
59,0.0,0.1
60,0.2,0.1
61,0.8,0.5
62,0.2,0.05
63,0.4,0.2
64,0.0,0.0
