query,rank,document,precision,recall

1,1,CACM-1519,0.0,0.0
1,2,CACM-3048,0.0,0.0
1,3,CACM-1680,0.0,0.0
1,4,CACM-2371,0.0,0.0
1,5,CACM-1591,0.0,0.0
1,6,CACM-1161,0.0,0.0
1,7,CACM-1168,0.0,0.0
1,8,CACM-0252,0.0,0.0
1,9,CACM-1195,0.0,0.0
1,10,CACM-0971,0.0,0.0
1,11,CACM-1534,0.0,0.0
1,12,CACM-3023,0.0,0.0
1,13,CACM-0414,0.0,0.0
1,14,CACM-2920,0.0,0.0
1,15,CACM-1304,0.0,0.0
1,16,CACM-1440,0.0,0.0
1,17,CACM-1163,0.0,0.0
1,18,CACM-1523,0.0,0.0
1,19,CACM-1506,0.0,0.0
1,20,CACM-1657,0.0,0.0
1,21,CACM-2948,0.0,0.0
1,22,CACM-2622,0.0,0.0
1,23,CACM-2984,0.0,0.0
1,24,CACM-2560,0.0,0.0
1,25,CACM-1034,0.0,0.0
1,26,CACM-2380,0.0,0.0
1,27,CACM-2357,0.0,0.0
1,28,CACM-3012,0.0,0.0
1,29,CACM-3127,0.0,0.0
1,30,CACM-1605,0.03333333333333333,0.2
1,31,CACM-1264,0.03225806451612903,0.2
1,32,CACM-1750,0.03125,0.2
1,33,CACM-1571,0.030303030303030304,0.2
1,34,CACM-1719,0.029411764705882353,0.2
1,35,CACM-3137,0.02857142857142857,0.2
1,36,CACM-1482,0.027777777777777776,0.2
1,37,CACM-1844,0.02702702702702703,0.2
1,38,CACM-1472,0.02631578947368421,0.2
1,39,CACM-1238,0.02564102564102564,0.2
1,40,CACM-1236,0.025,0.2
1,41,CACM-1938,0.024390243902439025,0.2
1,42,CACM-2542,0.023809523809523808,0.2
1,43,CACM-1505,0.023255813953488372,0.2
1,44,CACM-2311,0.022727272727272728,0.2
1,45,CACM-2681,0.022222222222222223,0.2
1,46,CACM-1033,0.021739130434782608,0.2
1,47,CACM-1108,0.02127659574468085,0.2
1,48,CACM-1937,0.020833333333333332,0.2
1,49,CACM-2188,0.02040816326530612,0.2
1,50,CACM-2878,0.02,0.2
1,51,CACM-2105,0.0196078431372549,0.2
1,52,CACM-2811,0.019230769230769232,0.2
1,53,CACM-3089,0.018867924528301886,0.2
1,54,CACM-2439,0.018518518518518517,0.2
1,55,CACM-0202,0.01818181818181818,0.2
1,56,CACM-0617,0.017857142857142856,0.2
1,57,CACM-2153,0.017543859649122806,0.2
1,58,CACM-2841,0.017241379310344827,0.2
1,59,CACM-2955,0.01694915254237288,0.2
1,60,CACM-1885,0.016666666666666666,0.2
1,61,CACM-1173,0.01639344262295082,0.2
1,62,CACM-1412,0.016129032258064516,0.2
1,63,CACM-2092,0.015873015873015872,0.2
1,64,CACM-1518,0.015625,0.2
1,65,CACM-1533,0.015384615384615385,0.2
1,66,CACM-2372,0.015151515151515152,0.2
1,67,CACM-1712,0.014925373134328358,0.2
1,68,CACM-1170,0.014705882352941176,0.2
1,69,CACM-3087,0.014492753623188406,0.2
1,70,CACM-1226,0.014285714285714285,0.2
1,71,CACM-1755,0.014084507042253521,0.2
1,72,CACM-2951,0.013888888888888888,0.2
1,73,CACM-2894,0.0136986301369863,0.2
1,74,CACM-1544,0.013513513513513514,0.2
1,75,CACM-1829,0.013333333333333334,0.2
1,76,CACM-2959,0.013157894736842105,0.2
1,77,CACM-0671,0.012987012987012988,0.2
1,78,CACM-1853,0.01282051282051282,0.2
1,79,CACM-2535,0.012658227848101266,0.2
1,80,CACM-1194,0.0125,0.2
1,81,CACM-2917,0.012345679012345678,0.2
1,82,CACM-2219,0.012195121951219513,0.2
1,83,CACM-1752,0.012048192771084338,0.2
1,84,CACM-2390,0.011904761904761904,0.2
1,85,CACM-2541,0.011764705882352941,0.2
1,86,CACM-3002,0.011627906976744186,0.2
1,87,CACM-2065,0.011494252873563218,0.2
1,88,CACM-2274,0.011363636363636364,0.2
1,89,CACM-3180,0.011235955056179775,0.2
1,90,CACM-2398,0.011111111111111112,0.2
1,91,CACM-1428,0.01098901098901099,0.2
1,92,CACM-1642,0.010869565217391304,0.2
1,93,CACM-2002,0.010752688172043012,0.2
1,94,CACM-2621,0.010638297872340425,0.2
1,95,CACM-1542,0.010526315789473684,0.2
1,96,CACM-1697,0.010416666666666666,0.2
1,97,CACM-2642,0.010309278350515464,0.2
1,98,CACM-1309,0.01020408163265306,0.2
1,99,CACM-2519,0.010101010101010102,0.2
1,100,CACM-3049,0.01,0.2

2,1,CACM-1305,0.0,0.0
2,2,CACM-0597,0.0,0.0
2,3,CACM-0847,0.0,0.0
2,4,CACM-1625,0.0,0.0
2,5,CACM-1168,0.0,0.0
2,6,CACM-1315,0.0,0.0
2,7,CACM-1183,0.0,0.0
2,8,CACM-1591,0.0,0.0
2,9,CACM-1439,0.0,0.0
2,10,CACM-0971,0.0,0.0
2,11,CACM-1424,0.0,0.0
2,12,CACM-1345,0.0,0.0
2,13,CACM-3189,0.0,0.0
2,14,CACM-1014,0.0,0.0
2,15,CACM-3202,0.0,0.0
2,16,CACM-2439,0.0,0.0
2,17,CACM-1391,0.0,0.0
2,18,CACM-1403,0.0,0.0
2,19,CACM-1867,0.0,0.0
2,20,CACM-1427,0.0,0.0
2,21,CACM-1623,0.0,0.0
2,22,CACM-0282,0.0,0.0
2,23,CACM-1161,0.0,0.0
2,24,CACM-1705,0.0,0.0
2,25,CACM-0001,0.0,0.0
2,26,CACM-0002,0.0,0.0
2,27,CACM-0003,0.0,0.0
2,28,CACM-0004,0.0,0.0
2,29,CACM-0005,0.0,0.0
2,30,CACM-0006,0.0,0.0
2,31,CACM-0007,0.0,0.0
2,32,CACM-0008,0.0,0.0
2,33,CACM-0009,0.0,0.0
2,34,CACM-0010,0.0,0.0
2,35,CACM-0011,0.0,0.0
2,36,CACM-0012,0.0,0.0
2,37,CACM-0013,0.0,0.0
2,38,CACM-0014,0.0,0.0
2,39,CACM-0015,0.0,0.0
2,40,CACM-0016,0.0,0.0
2,41,CACM-0017,0.0,0.0
2,42,CACM-0018,0.0,0.0
2,43,CACM-0019,0.0,0.0
2,44,CACM-0020,0.0,0.0
2,45,CACM-0021,0.0,0.0
2,46,CACM-0022,0.0,0.0
2,47,CACM-0023,0.0,0.0
2,48,CACM-0024,0.0,0.0
2,49,CACM-0025,0.0,0.0
2,50,CACM-0026,0.0,0.0
2,51,CACM-0027,0.0,0.0
2,52,CACM-0028,0.0,0.0
2,53,CACM-0029,0.0,0.0
2,54,CACM-0030,0.0,0.0
2,55,CACM-0031,0.0,0.0
2,56,CACM-0032,0.0,0.0
2,57,CACM-0033,0.0,0.0
2,58,CACM-0034,0.0,0.0
2,59,CACM-0035,0.0,0.0
2,60,CACM-0036,0.0,0.0
2,61,CACM-0037,0.0,0.0
2,62,CACM-0038,0.0,0.0
2,63,CACM-0039,0.0,0.0
2,64,CACM-0040,0.0,0.0
2,65,CACM-0041,0.0,0.0
2,66,CACM-0042,0.0,0.0
2,67,CACM-0043,0.0,0.0
2,68,CACM-0044,0.0,0.0
2,69,CACM-0045,0.0,0.0
2,70,CACM-0046,0.0,0.0
2,71,CACM-0047,0.0,0.0
2,72,CACM-0048,0.0,0.0
2,73,CACM-0049,0.0,0.0
2,74,CACM-0050,0.0,0.0
2,75,CACM-0051,0.0,0.0
2,76,CACM-0052,0.0,0.0
2,77,CACM-0053,0.0,0.0
