query,P@5,P@20
1,0.2,0.05
2,0.2,0.1
3,0.0,0.0
4,0.2,0.1
5,0.2,0.15
6,0.0,0.1
7,0.6,0.35
8,0.2,0.05
9,0.2,0.25
10,0.4,0.6
11,0.8,0.4
12,0.4,0.15
13,0.4,0.25
14,0.4,0.3
15,0.2,0.15
16,0.0,0.05
17,0.2,0.1
18,0.0,0.05
19,0.2,0.4
20,0.2,0.1
21,0.2,0.05
22,0.8,0.3
23,0.8,0.2
24,0.4,0.1
25,0.0,0.0
26,0.2,0.2
27,0.2,0.15
28,0.0,0.1
29,0.8,0.45
30,0.2,0.1
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
36,0.0,0.05
37,0.0,0.0
38,0.0,0.0
39,0.0,0.05
40,0.0,0.0
42,0.0,0.0
43,0.2,0.05
44,0.4,0.1
45,0.0,0.1
48,0.0,0.0
49,0.0,0.0
57,0.0,0.0
58,0.0,0.05
59,0.2,0.05
60,0.4,0.1
61,0.4,0.2
62,0.0,0.0
63,0.0,0.0
64,0.2,0.05
