query,rank,document,precision,recall

1,1,CACM-1572,1.0,0.2
1,2,CACM-1523,0.5,0.2
1,3,CACM-2380,0.3333333333333333,0.2
1,4,CACM-1033,0.25,0.2
1,5,CACM-2379,0.2,0.2
1,6,CACM-1591,0.16666666666666666,0.2
1,7,CACM-1264,0.14285714285714285,0.2
1,8,CACM-1440,0.125,0.2
1,9,CACM-2629,0.1111111111111111,0.2
1,10,CACM-1519,0.1,0.2
1,11,CACM-1304,0.09090909090909091,0.2
1,12,CACM-1749,0.08333333333333333,0.2
1,13,CACM-1544,0.07692307692307693,0.2
1,14,CACM-2371,0.07142857142857142,0.2
1,15,CACM-1680,0.06666666666666667,0.2
1,16,CACM-3127,0.0625,0.2
1,17,CACM-1657,0.058823529411764705,0.2
1,18,CACM-2357,0.05555555555555555,0.2
1,19,CACM-1393,0.05263157894736842,0.2
1,20,CACM-2740,0.05,0.2
1,21,CACM-1161,0.047619047619047616,0.2
1,22,CACM-2542,0.045454545454545456,0.2
1,23,CACM-1938,0.043478260869565216,0.2
1,24,CACM-2948,0.041666666666666664,0.2
1,25,CACM-1605,0.08,0.4
1,26,CACM-2984,0.07692307692307693,0.4
1,27,CACM-2796,0.07407407407407407,0.4
1,28,CACM-1506,0.07142857142857142,0.4
1,29,CACM-2747,0.06896551724137931,0.4
1,30,CACM-414,0.06666666666666667,0.4
1,31,CACM-3068,0.06451612903225806,0.4
1,32,CACM-2917,0.0625,0.4
1,33,CACM-1163,0.06060606060606061,0.4
1,34,CACM-1542,0.058823529411764705,0.4
1,35,CACM-1827,0.05714285714285714,0.4
1,36,CACM-2955,0.05555555555555555,0.4
1,37,CACM-2126,0.05405405405405406,0.4
1,38,CACM-1464,0.05263157894736842,0.4
1,39,CACM-1626,0.05128205128205128,0.4
1,40,CACM-2560,0.05,0.4
1,41,CACM-3087,0.04878048780487805,0.4
1,42,CACM-1226,0.047619047619047616,0.4
1,43,CACM-1179,0.046511627906976744,0.4
1,44,CACM-2685,0.045454545454545456,0.4
1,45,CACM-1698,0.044444444444444446,0.4
1,46,CACM-252,0.043478260869565216,0.4
1,47,CACM-2153,0.0425531914893617,0.4
1,48,CACM-2398,0.041666666666666664,0.4
1,49,CACM-3023,0.04081632653061224,0.4
1,50,CACM-1168,0.04,0.4
