RANK	DOCUMENT	PRECISION	RECALL
1	CACM-1685	0.0	0.0
2	CACM-2849	0.0	0.0
3	CACM-3068	0.3333333333333333	0.1111111111111111
4	CACM-2578	0.25	0.1111111111111111
5	CACM-2949	0.2	0.1111111111111111
6	CACM-2614	0.16666666666666666	0.1111111111111111
7	CACM-2372	0.2857142857142857	0.2222222222222222
8	CACM-2776	0.25	0.2222222222222222
9	CACM-3174	0.2222222222222222	0.2222222222222222
10	CACM-3158	0.3	0.3333333333333333
11	CACM-3043	0.2727272727272727	0.3333333333333333
12	CACM-2951	0.25	0.3333333333333333
13	CACM-2515	0.23076923076923078	0.3333333333333333
14	CACM-3137	0.21428571428571427	0.3333333333333333
15	CACM-2870	0.26666666666666666	0.4444444444444444
16	CACM-1461	0.25	0.4444444444444444
17	CACM-2371	0.23529411764705882	0.4444444444444444
18	CACM-2621	0.2222222222222222	0.4444444444444444
19	CACM-3082	0.21052631578947367	0.4444444444444444
20	CACM-3111	0.25	0.5555555555555556
21	CACM-2088	0.23809523809523808	0.5555555555555556
22	CACM-1688	0.22727272727272727	0.5555555555555556
23	CACM-1687	0.21739130434782608	0.5555555555555556
24	CACM-1690	0.20833333333333334	0.5555555555555556
25	CACM-1261	0.2	0.5555555555555556
26	CACM-2581	0.19230769230769232	0.5555555555555556
27	CACM-1723	0.18518518518518517	0.5555555555555556
28	CACM-1808	0.17857142857142858	0.5555555555555556
29	CACM-2869	0.1724137931034483	0.5555555555555556
30	CACM-2454	0.16666666666666666	0.5555555555555556
31	CACM-1695	0.16129032258064516	0.5555555555555556
32	CACM-3148	0.15625	0.5555555555555556
33	CACM-2969	0.15151515151515152	0.5555555555555556
34	CACM-1266	0.14705882352941177	0.5555555555555556
35	CACM-3038	0.14285714285714285	0.5555555555555556
36	CACM-3133	0.1388888888888889	0.5555555555555556
37	CACM-3011	0.13513513513513514	0.5555555555555556
38	CACM-2197	0.13157894736842105	0.5555555555555556
39	CACM-2890	0.1282051282051282	0.5555555555555556
40	CACM-1462	0.125	0.5555555555555556
41	CACM-666	0.12195121951219512	0.5555555555555556
42	CACM-828	0.11904761904761904	0.5555555555555556
43	CACM-2311	0.11627906976744186	0.5555555555555556
44	CACM-757	0.11363636363636363	0.5555555555555556
45	CACM-3127	0.1111111111111111	0.5555555555555556
46	CACM-820	0.10869565217391304	0.5555555555555556
47	CACM-517	0.10638297872340426	0.5555555555555556
48	CACM-3040	0.10416666666666667	0.5555555555555556
49	CACM-1747	0.10204081632653061	0.5555555555555556
50	CACM-88	0.1	0.5555555555555556
51	CACM-52	0.09803921568627451	0.5555555555555556
52	CACM-2945	0.09615384615384616	0.5555555555555556
53	CACM-2111	0.09433962264150944	0.5555555555555556
54	CACM-2712	0.09259259259259259	0.5555555555555556
55	CACM-2345	0.09090909090909091	0.5555555555555556
56	CACM-2757	0.08928571428571429	0.5555555555555556
57	CACM-1776	0.08771929824561403	0.5555555555555556
58	CACM-1750	0.08620689655172414	0.5555555555555556
59	CACM-3032	0.0847457627118644	0.5555555555555556
60	CACM-2740	0.08333333333333333	0.5555555555555556
61	CACM-2069	0.08196721311475409	0.5555555555555556
62	CACM-1780	0.08064516129032258	0.5555555555555556
63	CACM-2407	0.07936507936507936	0.5555555555555556
64	CACM-1822	0.078125	0.5555555555555556
65	CACM-2319	0.07692307692307693	0.5555555555555556
66	CACM-2151	0.07575757575757576	0.5555555555555556
67	CACM-383	0.07462686567164178	0.5555555555555556
68	CACM-1989	0.07352941176470588	0.5555555555555556
69	CACM-2270	0.07246376811594203	0.5555555555555556
70	CACM-1728	0.07142857142857142	0.5555555555555556
71	CACM-2900	0.07042253521126761	0.5555555555555556
72	CACM-3141	0.06944444444444445	0.5555555555555556
73	CACM-1704	0.0684931506849315	0.5555555555555556
74	CACM-25	0.06756756756756757	0.5555555555555556
75	CACM-2948	0.06666666666666667	0.5555555555555556
76	CACM-2583	0.06578947368421052	0.5555555555555556
77	CACM-2424	0.06493506493506493	0.5555555555555556
78	CACM-2796	0.0641025641025641	0.5555555555555556
79	CACM-2693	0.06329113924050633	0.5555555555555556
80	CACM-2138	0.0625	0.5555555555555556
81	CACM-3128	0.07407407407407407	0.6666666666666666
82	CACM-2624	0.07317073170731707	0.6666666666666666
83	CACM-1928	0.07228915662650602	0.6666666666666666
84	CACM-2893	0.07142857142857142	0.6666666666666666
85	CACM-441	0.07058823529411765	0.6666666666666666
86	CACM-1069	0.06976744186046512	0.6666666666666666
87	CACM-2479	0.06896551724137931	0.6666666666666666
88	CACM-1360	0.06818181818181818	0.6666666666666666
89	CACM-1745	0.06741573033707865	0.6666666666666666
90	CACM-1755	0.06666666666666667	0.6666666666666666
91	CACM-2379	0.06593406593406594	0.6666666666666666
92	CACM-2320	0.06521739130434782	0.6666666666666666
93	CACM-3150	0.06451612903225806	0.6666666666666666
94	CACM-1923	0.06382978723404255	0.6666666666666666
95	CACM-18	0.06315789473684211	0.6666666666666666
96	CACM-36	0.0625	0.6666666666666666
97	CACM-2482	0.061855670103092786	0.6666666666666666
98	CACM-2632	0.07142857142857142	0.7777777777777778
99	CACM-2934	0.0707070707070707	0.7777777777777778
100	CACM-1846	0.07	0.7777777777777778
