query,P@5,P@20
1,0.2,0.1
2,0.6,0.15
3,0.0,0.0
4,0.2,0.1
5,0.2,0.15
6,0.2,0.1
7,0.8,0.4
8,0.4,0.1
9,0.2,0.2
10,0.8,0.5
11,0.6,0.35
12,0.4,0.2
13,0.6,0.2
14,0.4,0.2
15,0.0,0.15
16,0.4,0.2
17,0.4,0.2
18,0.0,0.15
19,0.8,0.25
20,0.6,0.15
21,0.2,0.15
22,0.6,0.45
23,0.6,0.15
24,0.2,0.05
25,0.8,0.35
26,0.4,0.3
27,0.6,0.35
28,0.6,0.2
29,0.8,0.5
30,0.2,0.05
31,0.2,0.1
32,0.2,0.1
33,0.0,0.05
36,0.4,0.4
37,0.0,0.05
38,0.2,0.1
39,0.4,0.2
40,0.4,0.15
42,0.0,0.15
43,0.2,0.3
44,0.4,0.15
45,0.8,0.35
48,0.2,0.1
49,0.2,0.1
57,0.2,0.05
58,0.4,0.3
59,0.6,0.45
60,0.2,0.15
61,0.8,0.5
62,0.0,0.0
63,0.8,0.35
64,0.2,0.05
