query,rank,document,precision,recall

1,1,CACM-2219,0.0,0.0
1,2,CACM-2501,0.0,0.0
1,3,CACM-1163,0.0,0.0
1,4,CACM-3068,0.0,0.0
1,5,CACM-3069,0.0,0.0
1,6,CACM-1774,0.0,0.0
1,7,CACM-3103,0.0,0.0
1,8,CACM-0294,0.0,0.0
1,9,CACM-1824,0.0,0.0
1,10,CACM-0275,0.0,0.0
1,11,CACM-3131,0.0,0.0
1,12,CACM-0039,0.0,0.0
1,13,CACM-2514,0.0,0.0
1,14,CACM-3197,0.0,0.0
1,15,CACM-2593,0.0,0.0

2,1,CACM-2434,1.0,0.3333333333333333
2,2,CACM-1378,0.5,0.3333333333333333
2,3,CACM-2222,0.3333333333333333,0.3333333333333333
2,4,CACM-1065,0.25,0.3333333333333333

3,1,CACM-0249,0.0,0.0
3,2,CACM-2222,0.0,0.0
3,3,CACM-3103,0.0,0.0
3,4,CACM-1163,0.0,0.0
3,5,CACM-2514,0.0,0.0
3,6,CACM-1824,0.0,0.0

4,1,CACM-2222,0.0,0.0
4,2,CACM-3103,0.0,0.0
4,3,CACM-0039,0.0,0.0
4,4,CACM-2501,0.0,0.0
4,5,CACM-3069,0.0,0.0
4,6,CACM-2514,0.0,0.0
4,7,CACM-0536,0.0,0.0
4,8,CACM-1378,0.0,0.0
4,9,CACM-1824,0.0,0.0
4,10,CACM-2203,0.0,0.0
4,11,CACM-3197,0.0,0.0
4,12,CACM-2692,0.0,0.0
4,13,CACM-2489,0.0,0.0
4,14,CACM-1714,0.0,0.0
4,15,CACM-0320,0.0,0.0
4,16,CACM-1418,0.0,0.0
4,17,CACM-1606,0.0,0.0
4,18,CACM-1639,0.0,0.0
4,19,CACM-1596,0.0,0.0
4,20,CACM-3131,0.0,0.0
4,21,CACM-1163,0.0,0.0
4,22,CACM-2539,0.0,0.0
4,23,CACM-2242,0.0,0.0
4,24,CACM-2286,0.0,0.0
4,25,CACM-2670,0.0,0.0
4,26,CACM-3200,0.0,0.0

5,1,CACM-1824,0.0,0.0
5,2,CACM-2514,0.0,0.0
5,3,CACM-2501,0.3333333333333333,0.125
5,4,CACM-1101,0.25,0.125
5,5,CACM-3103,0.2,0.125
5,6,CACM-2203,0.16666666666666666,0.125
5,7,CACM-2251,0.14285714285714285,0.125
5,8,CACM-2219,0.125,0.125
5,9,CACM-2593,0.1111111111111111,0.125
5,10,CACM-1774,0.1,0.125
5,11,CACM-2670,0.09090909090909091,0.125
5,12,CACM-2692,0.08333333333333333,0.125

6,1,CACM-2222,0.0,0.0
6,2,CACM-0697,0.0,0.0
6,3,CACM-0039,0.0,0.0
6,4,CACM-0320,0.0,0.0
6,5,CACM-2501,0.0,0.0
6,6,CACM-1824,0.0,0.0

7,1,CACM-2222,0.0,0.0
7,2,CACM-3131,0.0,0.0
7,3,CACM-2692,0.0,0.0
7,4,CACM-1378,0.0,0.0
7,5,CACM-1065,0.0,0.0
7,6,CACM-1774,0.0,0.0
7,7,CACM-1445,0.0,0.0
7,8,CACM-3103,0.0,0.0
7,9,CACM-1163,0.0,0.0
7,10,CACM-3069,0.0,0.0
7,11,CACM-2203,0.0,0.0
7,12,CACM-2514,0.0,0.0
7,13,CACM-2286,0.0,0.0
7,14,CACM-2501,0.0,0.0

8,1,CACM-2222,0.0,0.0
8,2,CACM-3068,0.0,0.0
8,3,CACM-2219,0.0,0.0
8,4,CACM-2203,0.0,0.0
8,5,CACM-2501,0.0,0.0
8,6,CACM-2806,0.0,0.0
8,7,CACM-2514,0.0,0.0
8,8,CACM-2593,0.0,0.0
8,9,CACM-1774,0.0,0.0
8,10,CACM-0320,0.0,0.0
8,11,CACM-3103,0.0,0.0

9,1,CACM-3068,1.0,0.1111111111111111
9,2,CACM-2806,0.5,0.1111111111111111
9,3,CACM-1774,0.3333333333333333,0.1111111111111111
9,4,CACM-0320,0.25,0.1111111111111111
9,5,CACM-3103,0.2,0.1111111111111111
9,6,CACM-2222,0.16666666666666666,0.1111111111111111
9,7,CACM-2219,0.14285714285714285,0.1111111111111111
9,8,CACM-2593,0.125,0.1111111111111111

10,1,CACM-2514,0.0,0.0
10,2,CACM-0249,0.0,0.0
10,3,CACM-1163,0.0,0.0
10,4,CACM-0320,0.0,0.0
10,5,CACM-1824,0.0,0.0
10,6,CACM-2692,0.0,0.0
10,7,CACM-2251,0.0,0.0

11,1,CACM-2593,0.0,0.0
11,2,CACM-0249,0.0,0.0
11,3,CACM-2489,0.0,0.0
11,4,CACM-1163,0.0,0.0
11,5,CACM-2219,0.0,0.0
11,6,CACM-2514,0.0,0.0
11,7,CACM-3103,0.0,0.0
11,8,CACM-1824,0.0,0.0

12,1,CACM-3068,0.0,0.0
12,2,CACM-2219,0.0,0.0
12,3,CACM-2806,0.0,0.0
12,4,CACM-1774,0.0,0.0
12,5,CACM-0320,0.0,0.0
12,6,CACM-3103,0.0,0.0

13,1,CACM-1065,0.0,0.0
13,2,CACM-2251,0.0,0.0
13,3,CACM-3103,0.0,0.0
13,4,CACM-3069,0.0,0.0
13,5,CACM-1824,0.0,0.0
13,6,CACM-2692,0.0,0.0

14,1,CACM-3131,0.0,0.0
14,2,CACM-2692,0.0,0.0
14,3,CACM-0622,0.0,0.0
14,4,CACM-2593,0.0,0.0
14,5,CACM-2222,0.0,0.0
14,6,CACM-3103,0.0,0.0
