query,P@5,P@20
1,0.0,0.05
2,0.0,0.0
3,0.0,0.0
4,0.2,0.05
5,0.2,0.15
6,0.0,0.05
7,0.6,0.2
8,0.0,0.0
9,0.0,0.15
10,0.8,0.45
11,0.8,0.35
12,0.4,0.1
13,0.4,0.2
14,0.2,0.2
15,0.0,0.0
16,0.0,0.05
17,0.2,0.1
18,0.0,0.1
19,0.4,0.35
20,0.2,0.05
21,0.2,0.05
22,0.6,0.3
23,0.6,0.2
24,0.4,0.1
25,0.0,0.0
26,0.0,0.1
27,0.2,0.2
28,0.2,0.05
29,0.6,0.3
30,0.4,0.15
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
36,0.0,0.05
37,0.0,0.0
38,0.0,0.0
39,0.0,0.1
40,0.0,0.0
42,0.0,0.0
43,0.2,0.05
44,0.0,0.0
45,0.0,0.1
48,0.0,0.0
49,0.0,0.0
57,0.0,0.0
58,0.0,0.05
59,0.2,0.05
60,0.2,0.1
61,0.4,0.15
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
