query,rank,document,precision,recall

1,1,CACM-1033,0.0,0.0
1,2,CACM-1591,0.0,0.0
1,3,CACM-2685,0.0,0.0
1,4,CACM-1519,0.0,0.0
1,5,CACM-2371,0.0,0.0
1,6,CACM-1735,0.0,0.0
1,7,CACM-2917,0.0,0.0
1,8,CACM-1161,0.0,0.0
1,9,CACM-414,0.0,0.0
1,10,CACM-1304,0.0,0.0
1,11,CACM-1605,0.09090909090909091,0.2
1,12,CACM-2560,0.08333333333333333,0.2
1,13,CACM-1506,0.07692307692307693,0.2
1,14,CACM-1440,0.07142857142857142,0.2
1,15,CACM-1226,0.06666666666666667,0.2
1,16,CACM-1680,0.0625,0.2
1,17,CACM-1264,0.058823529411764705,0.2
1,18,CACM-1657,0.05555555555555555,0.2
1,19,CACM-1938,0.05263157894736842,0.2
1,20,CACM-2357,0.05,0.2
1,21,CACM-3048,0.047619047619047616,0.2
1,22,CACM-2621,0.045454545454545456,0.2
1,23,CACM-69,0.043478260869565216,0.2
1,24,CACM-1163,0.041666666666666664,0.2
1,25,CACM-3023,0.04,0.2
1,26,CACM-1642,0.038461538461538464,0.2
1,27,CACM-252,0.037037037037037035,0.2
1,28,CACM-1168,0.03571428571428571,0.2
1,29,CACM-2984,0.034482758620689655,0.2
1,30,CACM-2950,0.03333333333333333,0.2
1,31,CACM-2948,0.03225806451612903,0.2
1,32,CACM-827,0.03125,0.2
1,33,CACM-1956,0.030303030303030304,0.2
1,34,CACM-1523,0.029411764705882353,0.2
1,35,CACM-1295,0.02857142857142857,0.2
1,36,CACM-1195,0.027777777777777776,0.2
1,37,CACM-1571,0.02702702702702703,0.2
1,38,CACM-3127,0.02631578947368421,0.2
1,39,CACM-704,0.02564102564102564,0.2
1,40,CACM-2542,0.025,0.2
1,41,CACM-1315,0.024390243902439025,0.2
1,42,CACM-594,0.023809523809523808,0.2
1,43,CACM-275,0.023255813953488372,0.2
1,44,CACM-1827,0.022727272727272728,0.2
1,45,CACM-2796,0.022222222222222223,0.2
1,46,CACM-1544,0.021739130434782608,0.2
1,47,CACM-1750,0.02127659574468085,0.2
1,48,CACM-2627,0.020833333333333332,0.2
1,49,CACM-2764,0.02040816326530612,0.2
1,50,CACM-1885,0.02,0.2
1,51,CACM-1173,0.0196078431372549,0.2
1,52,CACM-2054,0.019230769230769232,0.2
1,53,CACM-1410,0.03773584905660377,0.4
1,54,CACM-1755,0.037037037037037035,0.4
1,55,CACM-2947,0.03636363636363636,0.4
1,56,CACM-698,0.03571428571428571,0.4
1,57,CACM-887,0.03508771929824561,0.4
1,58,CACM-397,0.034482758620689655,0.4
1,59,CACM-1247,0.03389830508474576,0.4
1,60,CACM-971,0.03333333333333333,0.4
1,61,CACM-618,0.03278688524590164,0.4
1,62,CACM-3068,0.03225806451612903,0.4
1,63,CACM-234,0.031746031746031744,0.4
1,64,CACM-1482,0.03125,0.4
1,65,CACM-3012,0.03076923076923077,0.4
1,66,CACM-198,0.030303030303030304,0.4
1,67,CACM-1685,0.029850746268656716,0.4
1,68,CACM-2288,0.029411764705882353,0.4
1,69,CACM-3137,0.028985507246376812,0.4
1,70,CACM-1472,0.02857142857142857,0.4
1,71,CACM-2893,0.028169014084507043,0.4
1,72,CACM-50,0.027777777777777776,0.4
1,73,CACM-3091,0.0273972602739726,0.4
1,74,CACM-2398,0.02702702702702703,0.4
1,75,CACM-2666,0.02666666666666667,0.4
1,76,CACM-2951,0.02631578947368421,0.4
1,77,CACM-2379,0.025974025974025976,0.4
1,78,CACM-195,0.02564102564102564,0.4
1,79,CACM-1923,0.02531645569620253,0.4
1,80,CACM-2681,0.025,0.4
1,81,CACM-202,0.024691358024691357,0.4
1,82,CACM-103,0.024390243902439025,0.4
1,83,CACM-1505,0.024096385542168676,0.4
1,84,CACM-1844,0.023809523809523808,0.4
1,85,CACM-2153,0.023529411764705882,0.4
1,86,CACM-2,0.023255813953488372,0.4
1,87,CACM-294,0.022988505747126436,0.4
1,88,CACM-699,0.022727272727272728,0.4
1,89,CACM-1044,0.02247191011235955,0.4
1,90,CACM-1069,0.022222222222222223,0.4
1,91,CACM-637,0.02197802197802198,0.4
1,92,CACM-1280,0.021739130434782608,0.4
1,93,CACM-1444,0.021505376344086023,0.4
1,94,CACM-2380,0.02127659574468085,0.4
1,95,CACM-2535,0.021052631578947368,0.4
1,96,CACM-585,0.020833333333333332,0.4
1,97,CACM-197,0.020618556701030927,0.4
1,98,CACM-1698,0.02040816326530612,0.4
1,99,CACM-2648,0.020202020202020204,0.4
1,100,CACM-1718,0.02,0.4

2,1,CACM-335,0.0,0.0
2,2,CACM-727,0.0,0.0
2,3,CACM-1364,0.0,0.0
2,4,CACM-3059,0.0,0.0
2,5,CACM-2250,0.0,0.0
2,6,CACM-1519,0.0,0.0
2,7,CACM-597,0.0,0.0
2,8,CACM-1931,0.0,0.0
2,9,CACM-47,0.0,0.0
2,10,CACM-1977,0.0,0.0
2,11,CACM-3129,0.0,0.0
2,12,CACM-1569,0.0,0.0
2,13,CACM-2039,0.0,0.0
2,14,CACM-1588,0.0,0.0
2,15,CACM-626,0.0,0.0
2,16,CACM-394,0.0,0.0
2,17,CACM-372,0.0,0.0
2,18,CACM-2,0.0,0.0
2,19,CACM-526,0.0,0.0
2,20,CACM-246,0.0,0.0
2,21,CACM-2476,0.0,0.0
2,22,CACM-1702,0.0,0.0
2,23,CACM-2100,0.0,0.0
2,24,CACM-3078,0.041666666666666664,0.3333333333333333
2,25,CACM-171,0.04,0.3333333333333333
2,26,CACM-391,0.038461538461538464,0.3333333333333333
2,27,CACM-204,0.037037037037037035,0.3333333333333333
2,28,CACM-3028,0.03571428571428571,0.3333333333333333
2,29,CACM-2713,0.034482758620689655,0.3333333333333333
2,30,CACM-2448,0.03333333333333333,0.3333333333333333
2,31,CACM-1264,0.03225806451612903,0.3333333333333333
2,32,CACM-1990,0.03125,0.3333333333333333
2,33,CACM-1821,0.030303030303030304,0.3333333333333333
2,34,CACM-847,0.029411764705882353,0.3333333333333333
2,35,CACM-497,0.02857142857142857,0.3333333333333333
2,36,CACM-2439,0.027777777777777776,0.3333333333333333
2,37,CACM-1315,0.02702702702702703,0.3333333333333333
2,38,CACM-2352,0.02631578947368421,0.3333333333333333
2,39,CACM-2422,0.02564102564102564,0.3333333333333333
2,40,CACM-3171,0.025,0.3333333333333333
2,41,CACM-2194,0.024390243902439025,0.3333333333333333
2,42,CACM-1619,0.023809523809523808,0.3333333333333333
2,43,CACM-1259,0.023255813953488372,0.3333333333333333
2,44,CACM-1272,0.022727272727272728,0.3333333333333333
2,45,CACM-1764,0.022222222222222223,0.3333333333333333
2,46,CACM-2900,0.021739130434782608,0.3333333333333333
2,47,CACM-2473,0.02127659574468085,0.3333333333333333
2,48,CACM-1941,0.020833333333333332,0.3333333333333333
2,49,CACM-242,0.02040816326530612,0.3333333333333333
2,50,CACM-2472,0.02,0.3333333333333333
2,51,CACM-2440,0.0196078431372549,0.3333333333333333
2,52,CACM-1981,0.019230769230769232,0.3333333333333333
2,53,CACM-1096,0.018867924528301886,0.3333333333333333
2,54,CACM-1010,0.018518518518518517,0.3333333333333333
2,55,CACM-1305,0.01818181818181818,0.3333333333333333
2,56,CACM-2735,0.017857142857142856,0.3333333333333333
2,57,CACM-1881,0.017543859649122806,0.3333333333333333
2,58,CACM-2143,0.017241379310344827,0.3333333333333333
2,59,CACM-760,0.01694915254237288,0.3333333333333333
2,60,CACM-749,0.016666666666666666,0.3333333333333333
2,61,CACM-648,0.01639344262295082,0.3333333333333333
2,62,CACM-1530,0.016129032258064516,0.3333333333333333
2,63,CACM-2663,0.015873015873015872,0.3333333333333333
2,64,CACM-2577,0.015625,0.3333333333333333
2,65,CACM-2917,0.015384615384615385,0.3333333333333333
2,66,CACM-1243,0.015151515151515152,0.3333333333333333
2,67,CACM-1974,0.014925373134328358,0.3333333333333333
2,68,CACM-282,0.014705882352941176,0.3333333333333333
2,69,CACM-2714,0.014492753623188406,0.3333333333333333
2,70,CACM-3136,0.014285714285714285,0.3333333333333333
2,71,CACM-2905,0.014084507042253521,0.3333333333333333
2,72,CACM-1867,0.013888888888888888,0.3333333333333333
2,73,CACM-2449,0.0136986301369863,0.3333333333333333
2,74,CACM-1343,0.013513513513513514,0.3333333333333333
2,75,CACM-1182,0.013333333333333334,0.3333333333333333
2,76,CACM-363,0.013157894736842105,0.3333333333333333
2,77,CACM-2916,0.012987012987012988,0.3333333333333333
2,78,CACM-1301,0.01282051282051282,0.3333333333333333
2,79,CACM-1057,0.012658227848101266,0.3333333333333333
2,80,CACM-2572,0.0125,0.3333333333333333
2,81,CACM-1152,0.012345679012345678,0.3333333333333333
2,82,CACM-2368,0.012195121951219513,0.3333333333333333
2,83,CACM-1154,0.012048192771084338,0.3333333333333333
2,84,CACM-531,0.011904761904761904,0.3333333333333333
2,85,CACM-1168,0.011764705882352941,0.3333333333333333
2,86,CACM-1606,0.011627906976744186,0.3333333333333333
2,87,CACM-3056,0.011494252873563218,0.3333333333333333
2,88,CACM-740,0.011363636363636364,0.3333333333333333
2,89,CACM-569,0.011235955056179775,0.3333333333333333
2,90,CACM-563,0.011111111111111112,0.3333333333333333
2,91,CACM-108,0.01098901098901099,0.3333333333333333
2,92,CACM-2486,0.010869565217391304,0.3333333333333333
2,93,CACM-225,0.010752688172043012,0.3333333333333333
2,94,CACM-2771,0.010638297872340425,0.3333333333333333
2,95,CACM-890,0.010526315789473684,0.3333333333333333
2,96,CACM-2219,0.010416666666666666,0.3333333333333333
2,97,CACM-408,0.010309278350515464,0.3333333333333333
2,98,CACM-3088,0.01020408163265306,0.3333333333333333
2,99,CACM-2638,0.010101010101010102,0.3333333333333333
2,100,CACM-998,0.01,0.3333333333333333

3,1,CACM-2316,0.0,0.0
3,2,CACM-2295,0.0,0.0
3,3,CACM-1459,0.0,0.0
3,4,CACM-2705,0.0,0.0
3,5,CACM-1703,0.0,0.0
3,6,CACM-70,0.0,0.0
3,7,CACM-2603,0.0,0.0
3,8,CACM-2814,0.0,0.0
3,9,CACM-1723,0.0,0.0
3,10,CACM-2551,0.0,0.0
3,11,CACM-651,0.0,0.0
3,12,CACM-637,0.0,0.0
3,13,CACM-2587,0.0,0.0
3,14,CACM-1457,0.0,0.0
3,15,CACM-252,0.0,0.0
3,16,CACM-2886,0.0,0.0
3,17,CACM-2658,0.0,0.0
3,18,CACM-1402,0.0,0.0
3,19,CACM-51,0.0,0.0
3,20,CACM-3102,0.0,0.0
3,21,CACM-2254,0.0,0.0
3,22,CACM-929,0.0,0.0
3,23,CACM-1313,0.0,0.0
3,24,CACM-2659,0.0,0.0
3,25,CACM-3099,0.0,0.0
3,26,CACM-2411,0.0,0.0
3,27,CACM-3171,0.0,0.0
3,28,CACM-2305,0.0,0.0
3,29,CACM-2066,0.0,0.0
3,30,CACM-2782,0.0,0.0
3,31,CACM-628,0.0,0.0
3,32,CACM-1678,0.0,0.0
3,33,CACM-1360,0.0,0.0
3,34,CACM-3056,0.0,0.0
3,35,CACM-2609,0.0,0.0
3,36,CACM-1098,0.0,0.0
3,37,CACM-1835,0.0,0.0
3,38,CACM-1852,0.0,0.0
3,39,CACM-2572,0.0,0.0
3,40,CACM-596,0.0,0.0
3,41,CACM-2112,0.0,0.0
3,42,CACM-1206,0.0,0.0
3,43,CACM-2495,0.0,0.0
3,44,CACM-920,0.0,0.0
3,45,CACM-2873,0.0,0.0
3,46,CACM-3124,0.0,0.0
3,47,CACM-1366,0.0,0.0
3,48,CACM-1533,0.0,0.0
3,49,CACM-1916,0.0,0.0
3,50,CACM-605,0.0,0.0
3,51,CACM-1315,0.0,0.0
3,52,CACM-1923,0.0,0.0
3,53,CACM-2939,0.0,0.0
3,54,CACM-2990,0.0,0.0
3,55,CACM-1314,0.0,0.0
3,56,CACM-2808,0.0,0.0
3,57,CACM-1134,0.017543859649122806,0.16666666666666666
3,58,CACM-1135,0.017241379310344827,0.16666666666666666
3,59,CACM-2494,0.01694915254237288,0.16666666666666666
3,60,CACM-1003,0.016666666666666666,0.16666666666666666
3,61,CACM-2918,0.01639344262295082,0.16666666666666666
3,62,CACM-1783,0.016129032258064516,0.16666666666666666
3,63,CACM-1482,0.015873015873015872,0.16666666666666666
3,64,CACM-303,0.015625,0.16666666666666666
3,65,CACM-1466,0.015384615384615385,0.16666666666666666
3,66,CACM-2061,0.015151515151515152,0.16666666666666666
3,67,CACM-2661,0.014925373134328358,0.16666666666666666
3,68,CACM-2064,0.014705882352941176,0.16666666666666666
3,69,CACM-1696,0.014492753623188406,0.16666666666666666
3,70,CACM-2904,0.014285714285714285,0.16666666666666666
3,71,CACM-3115,0.014084507042253521,0.16666666666666666
3,72,CACM-2921,0.013888888888888888,0.16666666666666666
3,73,CACM-2699,0.0136986301369863,0.16666666666666666
3,74,CACM-1168,0.013513513513513514,0.16666666666666666
3,75,CACM-3151,0.013333333333333334,0.16666666666666666
3,76,CACM-2406,0.013157894736842105,0.16666666666666666
3,77,CACM-58,0.012987012987012988,0.16666666666666666
3,78,CACM-1142,0.01282051282051282,0.16666666666666666
3,79,CACM-1309,0.012658227848101266,0.16666666666666666
3,80,CACM-2449,0.0125,0.16666666666666666
3,81,CACM-1196,0.012345679012345678,0.16666666666666666
3,82,CACM-1383,0.012195121951219513,0.16666666666666666
3,83,CACM-1185,0.012048192771084338,0.16666666666666666
3,84,CACM-2439,0.011904761904761904,0.16666666666666666
3,85,CACM-1154,0.011764705882352941,0.16666666666666666
3,86,CACM-1671,0.011627906976744186,0.16666666666666666
3,87,CACM-1631,0.011494252873563218,0.16666666666666666
3,88,CACM-2579,0.011363636363636364,0.16666666666666666
3,89,CACM-2989,0.011235955056179775,0.16666666666666666
3,90,CACM-1809,0.011111111111111112,0.16666666666666666
3,91,CACM-1387,0.01098901098901099,0.16666666666666666
3,92,CACM-1911,0.010869565217391304,0.16666666666666666
3,93,CACM-2264,0.010752688172043012,0.16666666666666666
3,94,CACM-1650,0.010638297872340425,0.16666666666666666
3,95,CACM-1236,0.010526315789473684,0.16666666666666666
3,96,CACM-1485,0.010416666666666666,0.16666666666666666
3,97,CACM-1251,0.010309278350515464,0.16666666666666666
3,98,CACM-2084,0.01020408163265306,0.16666666666666666
3,99,CACM-1658,0.010101010101010102,0.16666666666666666
3,100,CACM-3150,0.01,0.16666666666666666

4,1,CACM-3043,1.0,0.08333333333333333
4,2,CACM-3141,0.5,0.08333333333333333
4,3,CACM-1943,0.3333333333333333,0.08333333333333333
4,4,CACM-2439,0.25,0.08333333333333333
4,5,CACM-3103,0.2,0.08333333333333333
4,6,CACM-2900,0.16666666666666666,0.08333333333333333
4,7,CACM-2848,0.14285714285714285,0.08333333333333333
4,8,CACM-2519,0.125,0.08333333333333333
4,9,CACM-409,0.1111111111111111,0.08333333333333333
4,10,CACM-2949,0.1,0.08333333333333333
4,11,CACM-2342,0.09090909090909091,0.08333333333333333
4,12,CACM-1736,0.08333333333333333,0.08333333333333333
4,13,CACM-1588,0.07692307692307693,0.08333333333333333
4,14,CACM-3059,0.07142857142857142,0.08333333333333333
4,15,CACM-2969,0.06666666666666667,0.08333333333333333
4,16,CACM-2932,0.0625,0.08333333333333333
4,17,CACM-2096,0.058823529411764705,0.08333333333333333
4,18,CACM-52,0.05555555555555555,0.08333333333333333
4,19,CACM-3137,0.05263157894736842,0.08333333333333333
4,20,CACM-3018,0.05,0.08333333333333333
4,21,CACM-2578,0.047619047619047616,0.08333333333333333
4,22,CACM-2371,0.09090909090909091,0.16666666666666666
4,23,CACM-1014,0.08695652173913043,0.16666666666666666
4,24,CACM-403,0.08333333333333333,0.16666666666666666
4,25,CACM-2666,0.08,0.16666666666666666
4,26,CACM-2895,0.07692307692307693,0.16666666666666666
4,27,CACM-2849,0.07407407407407407,0.16666666666666666
4,28,CACM-3049,0.07142857142857142,0.16666666666666666
4,29,CACM-1272,0.06896551724137931,0.16666666666666666
4,30,CACM-1253,0.06666666666666667,0.16666666666666666
4,31,CACM-1135,0.06451612903225806,0.16666666666666666
4,32,CACM-2931,0.0625,0.16666666666666666
4,33,CACM-3013,0.06060606060606061,0.16666666666666666
4,34,CACM-2890,0.058823529411764705,0.16666666666666666
4,35,CACM-2905,0.05714285714285714,0.16666666666666666
4,36,CACM-3056,0.05555555555555555,0.16666666666666666
4,37,CACM-3171,0.05405405405405406,0.16666666666666666
4,38,CACM-1506,0.05263157894736842,0.16666666666666666
4,39,CACM-243,0.05128205128205128,0.16666666666666666
4,40,CACM-1905,0.05,0.16666666666666666
4,41,CACM-3020,0.04878048780487805,0.16666666666666666
4,42,CACM-2196,0.047619047619047616,0.16666666666666666
4,43,CACM-84,0.046511627906976744,0.16666666666666666
4,44,CACM-452,0.045454545454545456,0.16666666666666666
4,45,CACM-3108,0.044444444444444446,0.16666666666666666
4,46,CACM-2215,0.043478260869565216,0.16666666666666666
4,47,CACM-1398,0.0425531914893617,0.16666666666666666
4,48,CACM-1569,0.041666666666666664,0.16666666666666666
4,49,CACM-2536,0.04081632653061224,0.16666666666666666
4,50,CACM-2810,0.04,0.16666666666666666
4,51,CACM-278,0.0392156862745098,0.16666666666666666
4,52,CACM-1624,0.038461538461538464,0.16666666666666666
4,53,CACM-1145,0.03773584905660377,0.16666666666666666
4,54,CACM-695,0.037037037037037035,0.16666666666666666
4,55,CACM-1829,0.03636363636363636,0.16666666666666666
4,56,CACM-1166,0.03571428571428571,0.16666666666666666
4,57,CACM-1623,0.03508771929824561,0.16666666666666666
4,58,CACM-717,0.034482758620689655,0.16666666666666666
4,59,CACM-1519,0.03389830508474576,0.16666666666666666
4,60,CACM-618,0.03333333333333333,0.16666666666666666
4,61,CACM-1610,0.03278688524590164,0.16666666666666666
4,62,CACM-724,0.03225806451612903,0.16666666666666666
4,63,CACM-1727,0.031746031746031744,0.16666666666666666
4,64,CACM-2383,0.03125,0.16666666666666666
4,65,CACM-3082,0.046153846153846156,0.25
4,66,CACM-3128,0.06060606060606061,0.3333333333333333
4,67,CACM-253,0.05970149253731343,0.3333333333333333
4,68,CACM-1742,0.058823529411764705,0.3333333333333333
4,69,CACM-2445,0.057971014492753624,0.3333333333333333
4,70,CACM-282,0.05714285714285714,0.3333333333333333
4,71,CACM-2940,0.056338028169014086,0.3333333333333333
4,72,CACM-1362,0.05555555555555555,0.3333333333333333
4,73,CACM-2476,0.0547945205479452,0.3333333333333333
4,74,CACM-69,0.05405405405405406,0.3333333333333333
4,75,CACM-1584,0.05333333333333334,0.3333333333333333
4,76,CACM-2714,0.05263157894736842,0.3333333333333333
4,77,CACM-1922,0.05194805194805195,0.3333333333333333
4,78,CACM-2554,0.05128205128205128,0.3333333333333333
4,79,CACM-1681,0.05063291139240506,0.3333333333333333
4,80,CACM-1536,0.05,0.3333333333333333
4,81,CACM-2916,0.04938271604938271,0.3333333333333333
4,82,CACM-1567,0.04878048780487805,0.3333333333333333
4,83,CACM-3148,0.04819277108433735,0.3333333333333333
4,84,CACM-2958,0.047619047619047616,0.3333333333333333
4,85,CACM-1534,0.047058823529411764,0.3333333333333333
4,86,CACM-2619,0.046511627906976744,0.3333333333333333
4,87,CACM-1143,0.04597701149425287,0.3333333333333333
4,88,CACM-617,0.045454545454545456,0.3333333333333333
4,89,CACM-2877,0.0449438202247191,0.3333333333333333
4,90,CACM-47,0.044444444444444446,0.3333333333333333
4,91,CACM-1099,0.04395604395604396,0.3333333333333333
4,92,CACM-1391,0.043478260869565216,0.3333333333333333
4,93,CACM-2721,0.043010752688172046,0.3333333333333333
4,94,CACM-1651,0.0425531914893617,0.3333333333333333
4,95,CACM-1628,0.042105263157894736,0.3333333333333333
4,96,CACM-1199,0.041666666666666664,0.3333333333333333
4,97,CACM-1530,0.041237113402061855,0.3333333333333333
4,98,CACM-3081,0.04081632653061224,0.3333333333333333
4,99,CACM-1001,0.04040404040404041,0.3333333333333333
4,100,CACM-124,0.04,0.3333333333333333

5,1,CACM-1923,0.0,0.0
5,2,CACM-2035,0.5,0.125
5,3,CACM-2321,0.3333333333333333,0.125
5,4,CACM-1829,0.25,0.125
5,5,CACM-529,0.2,0.125
5,6,CACM-23,0.16666666666666666,0.125
5,7,CACM-2399,0.2857142857142857,0.25
5,8,CACM-3059,0.25,0.25
5,9,CACM-1281,0.2222222222222222,0.25
5,10,CACM-1272,0.2,0.25
5,11,CACM-1742,0.18181818181818182,0.25
5,12,CACM-537,0.16666666666666666,0.25
5,13,CACM-1764,0.15384615384615385,0.25
5,14,CACM-3102,0.14285714285714285,0.25
5,15,CACM-2106,0.13333333333333333,0.25
5,16,CACM-2169,0.125,0.25
5,17,CACM-756,0.17647058823529413,0.375
5,18,CACM-2271,0.16666666666666666,0.375
5,19,CACM-2357,0.15789473684210525,0.375
5,20,CACM-2960,0.15,0.375
5,21,CACM-3147,0.14285714285714285,0.375
5,22,CACM-2299,0.18181818181818182,0.5
5,23,CACM-2003,0.17391304347826086,0.5
5,24,CACM-251,0.16666666666666666,0.5
5,25,CACM-225,0.16,0.5
5,26,CACM-892,0.15384615384615385,0.5
5,27,CACM-2947,0.14814814814814814,0.5
5,28,CACM-1582,0.14285714285714285,0.5
5,29,CACM-201,0.13793103448275862,0.5
5,30,CACM-200,0.13333333333333333,0.5
5,31,CACM-1937,0.12903225806451613,0.5
5,32,CACM-2629,0.125,0.5
5,33,CACM-2145,0.12121212121212122,0.5
5,34,CACM-1378,0.11764705882352941,0.5
5,35,CACM-1465,0.11428571428571428,0.5
5,36,CACM-2756,0.1111111111111111,0.5
5,37,CACM-2942,0.10810810810810811,0.5
5,38,CACM-1996,0.10526315789473684,0.5
5,39,CACM-1575,0.10256410256410256,0.5
5,40,CACM-1574,0.1,0.5
5,41,CACM-2716,0.0975609756097561,0.5
5,42,CACM-1698,0.09523809523809523,0.5
5,43,CACM-1588,0.09302325581395349,0.5
5,44,CACM-1962,0.09090909090909091,0.5
5,45,CACM-2980,0.08888888888888889,0.5
5,46,CACM-1502,0.10869565217391304,0.625
5,47,CACM-1435,0.10638297872340426,0.625
5,48,CACM-1371,0.10416666666666667,0.625
5,49,CACM-452,0.10204081632653061,0.625
5,50,CACM-3050,0.1,0.625
5,51,CACM-1579,0.09803921568627451,0.625
5,52,CACM-1407,0.09615384615384616,0.625
5,53,CACM-3028,0.09433962264150944,0.625
5,54,CACM-946,0.09259259259259259,0.625
5,55,CACM-1301,0.09090909090909091,0.625
5,56,CACM-3088,0.08928571428571429,0.625
5,57,CACM-1605,0.08771929824561403,0.625
5,58,CACM-1584,0.08620689655172414,0.625
5,59,CACM-2622,0.0847457627118644,0.625
5,60,CACM-2483,0.08333333333333333,0.625
5,61,CACM-1519,0.08196721311475409,0.625
5,62,CACM-880,0.08064516129032258,0.625
5,63,CACM-2873,0.07936507936507936,0.625
5,64,CACM-2812,0.078125,0.625
5,65,CACM-149,0.07692307692307693,0.625
5,66,CACM-2985,0.07575757575757576,0.625
5,67,CACM-1101,0.07462686567164178,0.625
5,68,CACM-2078,0.07352941176470588,0.625
5,69,CACM-416,0.07246376811594203,0.625
5,70,CACM-2473,0.07142857142857142,0.625
5,71,CACM-1409,0.07042253521126761,0.625
5,72,CACM-2841,0.06944444444444445,0.625
5,73,CACM-1612,0.0684931506849315,0.625
5,74,CACM-2950,0.06756756756756757,0.625
5,75,CACM-772,0.06666666666666667,0.625
5,76,CACM-1585,0.06578947368421052,0.625
5,77,CACM-1580,0.06493506493506493,0.625
5,78,CACM-43,0.0641025641025641,0.625
5,79,CACM-2786,0.06329113924050633,0.625
5,80,CACM-2542,0.0625,0.625
5,81,CACM-1895,0.06172839506172839,0.625
5,82,CACM-1881,0.06097560975609756,0.625
5,83,CACM-3137,0.060240963855421686,0.625
5,84,CACM-1671,0.05952380952380952,0.625
5,85,CACM-1253,0.058823529411764705,0.625
5,86,CACM-2439,0.05813953488372093,0.625
5,87,CACM-1931,0.05747126436781609,0.625
